unique_id,category,subcategory,subsubcategory,subsubsubcategory,title,price,url
3663602564492_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,eponge-serpillere-et-accessoire-de-lavage,cat_id_2666.cat,Recharge pour balai plat en microfibre,"4,10",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/eponge-serpillere-et-accessoire-de-lavage/cat_id_2666.cat/recharge-pour-balai-plat-en-microfibre/3663602564492_CAFR.prd
3541212919164_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,seau-bassine-recipient-de-menage,cat_id_4132.cat,Bassine cuvette carrée 5.5L coloris sable,"5,90",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/seau-bassine-recipient-de-menage/cat_id_4132.cat/bassine-cuvette-carree-5-5l-coloris-sable/3541212919164_CAFR.prd
5604612035730_CAFR.prd,outillage,compresseur-et-accessoire,accessoire-compresseur,cat_id_0001475.cat,"Kit 5 outils pour Air comprimé pour Compresseurs d'air raccord 1/4"" ITOOLS","49,60",https://www.castorama.fr/outillage/compresseur-et-accessoire/accessoire-compresseur/cat_id_0001475.cat/departments/kit-5-outils-pour-air-comprim-pour-compresseurs-d-air-raccord-1-4-itools/5604612035730_CAFR.prd
5604612703523_CAFR.prd,outillage,compresseur-et-accessoire,compresseur,cat_id_0001474.cat,Compresseur d'air 24L 8 bar 2CV 1.5KW 115 PSI ITOOLS,169,https://www.castorama.fr/outillage/compresseur-et-accessoire/compresseur/cat_id_0001474.cat/mkp/compresseur-d-air-24l-8-bar-2cv-1-5kw-115-psi-itools/5604612703523_CAFR.prd
3308188424005_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,cat_id_2879.cat,Genouillère 6 pans pour volet Afbat 10 mm chromé,"18,90",https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/genouillere-6-pans-pour-volet-afbat-10-mm-chrome/3308188424005_CAFR.prd
3342010076161_CAFR.prd,outillage,materiel-de-chantier,outils-du-macon,auge-et-seau,Seau de maçon caoutchouc Ocai 13 L Noir,"6,90",https://www.castorama.fr/outillage/materiel-de-chantier/outils-du-macon/auge-et-seau/cat_id_1667.cat/seau-de-macon-caoutchouc-ocai-13-l-noir/3342010076161_CAFR.prd
5905568355348_CAFR.prd,jardin-et-terrasse,outil-entretien-et-materiel-du-jardin,balai-d-exterieur-balai-a-feuille-et-a-gazon,cat_id_3417.cat,Fiskars Balai de jardin Quikfit,"31,68",https://www.castorama.fr/jardin-et-terrasse/outil-entretien-et-materiel-du-jardin/balai-d-exterieur-balai-a-feuille-et-a-gazon/cat_id_3417.cat/departments/fiskars-balai-de-jardin-quikfit/5905568355348_CAFR.prd
3219510766239_CAFR.prd,jardin-et-terrasse,tondeuse-et-outil-motorise,huile-piece-de-rechange-et-accessoire-pour-outil-motorise,jerrican-d-essence-graisse-et-lubrifiant,Entonnoir plastique 195mm grande capacité,"5,90",https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/huile-piece-de-rechange-et-accessoire-pour-outil-motorise/jerrican-d-essence-graisse-et-lubrifiant/cat_id_2678.cat/entonnoir-plastique-195mm-grande-capacite/3219510766239_CAFR.prd
5905568365279_CAFR.prd,jardin-et-terrasse,outil-entretien-et-materiel-du-jardin,outil-combinable,cat_id_1398.cat,Scie courbe Fiskars QuikFit™ en acier,"37,90",https://www.castorama.fr/jardin-et-terrasse/outil-entretien-et-materiel-du-jardin/outil-combinable/cat_id_1398.cat/scie-courbe-fiskars-quikfit-en-acier/5905568365279_CAFR.prd
4066529041616_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,eponge-serpillere-et-accessoire-de-lavage,cat_id_2666.cat,Lot de 3 serpillères polyvalentes Karcher Easyfix,"35,90",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/eponge-serpillere-et-accessoire-de-lavage/cat_id_2666.cat/lot-de-3-serpilleres-polyvalentes-karcher-easyfix/4066529041616_CAFR.prd
3142762905814_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,seau-bassine-recipient-de-menage,cat_id_4132.cat,Seau à veau ø36 cm contenance 16L couleur vert,"12,50",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/seau-bassine-recipient-de-menage/cat_id_4132.cat/seau-a-veau-36-cm-contenance-16l-couleur-vert/3142762905814_CAFR.prd
