category,subcategory,subsubcategory,subsubsubcategory,title,prix,prod_url
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Chapeau pour poteau arrondi pvc blanc,"1,50",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/chapeau-pour-poteau-arrondi-pvc-blanc/3601659752745_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Panneau de clôture Pmex 180 x h.90 cm,"74,90",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/panneau-de-cloture-pmex-180-x-h-90-cm/3662551000860_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Kit poteau à sceller Pmex gris anthracite L.8 x l.8 x H.95 cm,"31,90",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/kit-poteau-a-sceller-pmex-gris-anthracite-l-8-x-l-8-x-h-95-cm/3662551000853_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Sachet 4 entretoises blanches départ/arrivée,"6,50",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/sachet-4-entretoises-blanches-depart-arrivee/3662551000075_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,"Panneau Pmex noir l.180 x h.180 x ep.2,1 cm",129,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/panneau-pmex-noir-l-180-x-h-180-x-ep-2-1-cm/3662551000877_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,"Kit poteau PVC Blanc, section: 8 x 8 cm, hauteur 95 cm","28,90",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/kit-poteau-pvc-blanc-section-8-x-8-cm-hauteur-95-cm/3662551001010_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Panneau persienne claustra P-MEX 180 x180cm,"84,90",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/panneau-persienne-claustra-p-mex-180-x180cm/3662551001492_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Kit poteau à sceller Pmex gris anthracite L.8 x l.8 x H.230 cm,"39,90",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/kit-poteau-a-sceller-pmex-gris-anthracite-l-8-x-l-8-x-h-230-cm/3662551000297_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Kit Clôture SLIM PVC Blanc H. 90 cm x L. 5.60 m - 7 Lisses claire-voie,"411,10",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/departments/kit-cl-ture-slim-pvc-blanc-h-90-cm-x-l-5-60-m-7-lisses-claire-voie/3590328031093_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Kit Clôture SLIM PVC Blanc H. 72 cm x L. 5.60 m - 5 Lisses claire-voie,"329,50",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/departments/kit-cl-ture-slim-pvc-blanc-h-72-cm-x-l-5-60-m-5-lisses-claire-voie/3590328030874_CAFR.prd
